source,code,cls,n_cells,support_px,f1,f1_lo,f1_hi,iou,iou_lo,iou_hi,reliability
v2,1,Stable,180,20313611,0.933,0.919,0.946,0.875,0.851,0.898,High
v2,2,Harvest,148,426142,0.119,0.078,0.167,0.063,0.041,0.091,Low
v2,3,Development,139,198368,0.018,0.008,0.037,0.009,0.004,0.019,Low
v2,4,Insect/Disease,121,850506,0.016,0.003,0.034,0.008,0.002,0.017,Low
v2,5,Beaver,140,1270631,0.004,0.002,0.007,0.002,0.001,0.004,Low
v3,1,Stable,180,20334833,0.907,0.892,0.923,0.831,0.805,0.857,High
v3,2,Harvest,157,451814,0.083,0.043,0.132,0.043,0.022,0.071,Low
v3,3,Development,112,253785,0.007,0.003,0.013,0.004,0.001,0.007,Low
v3,4,Insect/Disease,92,782300,0.017,0.004,0.035,0.009,0.002,0.018,Low
v3,5,Beaver,133,2134036,0.003,0.001,0.004,0.001,0.001,0.002,Low
v4,1,Stable,180,20268116,0.947,0.938,0.955,0.9,0.883,0.915,High
v4,2,Harvest,159,414027,0.146,0.087,0.199,0.079,0.045,0.11,Low
v4,3,Development,165,777737,0.005,0.003,0.009,0.002,0.001,0.004,Low
v4,4,Insect/Disease,165,876353,0.008,0.002,0.02,0.004,0.001,0.01,Low
v4,5,Beaver,159,262978,0.012,0.006,0.019,0.006,0.003,0.01,Low
v5,1,Stable,180,20331248,0.886,0.866,0.905,0.796,0.764,0.826,High
v5,2,Harvest,162,815884,0.041,0.02,0.066,0.021,0.01,0.034,Low
v5,3,Development,145,394786,0.006,0.002,0.011,0.003,0.001,0.005,Low
v5,4,Insect/Disease,107,1018515,0.012,0.002,0.028,0.006,0.001,0.014,Low
v5,5,Beaver,141,2105889,0.003,0.001,0.005,0.002,0.001,0.003,Low
v6,1,Stable,180,20275357,0.749,0.731,0.768,0.599,0.576,0.624,High
v6,2,Harvest,180,2324604,0.023,0.015,0.032,0.012,0.007,0.016,Low
v6,3,Development,179,1820631,0.004,0.002,0.008,0.002,0.001,0.004,Low
v6,4,Insect/Disease,180,2325753,0.006,0.003,0.009,0.003,0.001,0.005,Low
v6,5,Beaver,179,1949897,0.001,0.001,0.001,0.0,0.0,0.001,Low
spec_all,1,Stable,168,18645616,0.879,0.864,0.894,0.784,0.76,0.808,High
spec_all,2,Harvest,160,601520,0.102,0.055,0.153,0.054,0.028,0.083,Low
spec_all,3,Development,158,1244397,0.007,0.004,0.012,0.004,0.002,0.006,Low
spec_all,4,Insect/Disease,165,1893981,0.023,0.007,0.046,0.011,0.004,0.023,Low
spec_all,5,Beaver,162,506253,0.004,0.002,0.009,0.002,0.001,0.005,Low
